Pilar	Componente	Competencia	Conductas observables (El líder…)	Observaciones
Shine Within	Autoconfianza y autoliderazgo	Autoeficacia y seguridad	Afronta desafíos con seguridad en sus capacidades sin caer en la arrogancia, lo que motiva al equipo a perseguir metas exigentes.	
Shine Within	Autoconfianza y autoliderazgo	Autoeficacia y seguridad	Muestra consistencia entre lo que dice y hace, generando credibilidad y confianza en los colaboradores	
Shine Within	Autoconfianza y autoliderazgo	Gestión de creencias (mindset)	Identifica activamente sus creencias limitantes (ej. "no soy bueno en esto") y las reescribe hacia un lenguaje transformador y empoderante (ej. "estoy aprendiendo a dominar esto").	
Shine Within	Autoconfianza y autoliderazgo	Gestión de creencias (mindset)	Sustituye preguntas de víctima (¿Por qué a mí?) por preguntas de protagonista (¿Qué puedo aprender de esto? ¿Cómo puedo aportar valor?).	
Shine Within	Autoconfianza y autoliderazgo	Responsabilidad radical (accountability)	Pasa de poner excusas a tomar decisiones; reconoce que tiene el control de su vida y responsabilidad sobre sus resultados.	
Shine Within	Autoconfianza y autoliderazgo	Responsabilidad radical (accountability)	No culpa a factores externos; asume la propiedad de sus errores y busca soluciones proactivas.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Autoconciencia emocional	Monitorea sus estados de ánimo en tiempo real y reconoce cómo estos afectan su toma de decisiones y a las personas a su alrededor.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Autoconciencia emocional	Identifica sus "detonantes" emocionales (ej. sentirse cuestionado) antes de que provoquen una reacción impulsiva.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Regulación emocional	Aplica la pausa estratégica (Método STOP: Parar, Pensar, Observar, Proceder) antes de reaccionar ante una crisis.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Regulación emocional	Utiliza "anclas de serenidad" (respiración consciente, objetos físicos o mantras) para volver a su centro en momentos de estrés.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Regulación emocional	Gestiona la frustración manteniendo la calma, proyectando estabilidad al equipo.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Gestión de la energía	Prioriza su descanso y desconexión para mantener la claridad mental, entendiendo que el agotamiento afecta la calidad de sus decisiones.	
Shine Within	Inteligencia emocional y regulación (self-regulation)	Gestión de la energía	Incorpora rutinas de bienestar físico y mental para recargar su "batería" de liderazgo.	
Shine Within	Propósito y valores (integridad)	Claridad de propósito (Ikigai)	Define y articula un "para qué" claro que conecta su trabajo diario con un impacto mayor (ej. "Estoy aquí para empoderar a otros").	
Shine Within	Propósito y valores (integridad)	Claridad de propósito (Ikigai)	Utiliza su propósito como filtro para la toma de decisiones difíciles, asegurando que sus acciones honren su intención de vida.	
Shine Within	Propósito y valores (integridad)	Integridad y coherencia	Hace lo que dice.  Sus acciones privadas y públicas son congruentes con los valores que predica.	
Shine Within	Propósito y valores (integridad)	Integridad y coherencia	Cumple sus promesas y compromisos, generando un entorno de confianza y previsibilidad.	
Shine Within	Propósito y valores (integridad)	Integridad y coherencia	Defiende sus principios éticos incluso bajo presión o ante la posibilidad de ganancias a corto plazo.	
Shine Within	Propósito y valores (integridad)	Autenticidad	Se muestra genuino, sin adoptar "máscaras" corporativas; tiene la valentía de ser él mismo mientras lidera.	
Shine Within	Propósito y valores (integridad)	Autenticidad	Es transparente sobre sus intenciones y valores, lo que facilita la conexión humana con su equipo.	
Shine Within	Aprendizaje y reflexión (self-awareness)	Práctica reflexiva	Dedica tiempo agendado para la auto-observación y el análisis de su desempeño (ej. llevar un diario o bitácora emocional).	
Shine Within	Aprendizaje y reflexión (self-awareness)	Práctica reflexiva	Se hace preguntas poderosas sobre su identidad y futuro (¿En quién me quiero convertir? ¿Qué puedo ofrecer?).	
Shine Within	Aprendizaje y reflexión (self-awareness)	Apertura al feedback	Solicita retroalimentación constructiva de pares, superiores y subordinados para identificar puntos ciegos.	
Shine Within	Aprendizaje y reflexión (self-awareness)	Apertura al feedback	Recibe la crítica sin ponerse a la defensiva, utilizándola como insumo para su crecimiento personal.	
Shine Within	Aprendizaje y reflexión (self-awareness)	Mentalidad de crecimiento	Ve los errores y fracasos no como definiciones de su valía, sino como oportunidades de aprendizaje y mejora.	
Shine Within	Aprendizaje y reflexión (self-awareness)	Mentalidad de crecimiento	Está dispuesto a desaprender hábitos viejos y adquirir nuevas competencias para adaptarse a nuevos desafíos.	
Shine Within	Gestión de energía y bienestar (biohacking)	Regulación somática y fisiológica	Aplica técnicas de respiración consciente antes de situaciones de alta presión.	
Shine Within	Toma de decisiones y resolución de problemas	Compostura	Mantiene la serenidad en situaciones de crisis, proyectando confianza y evitando que el pánico paralice al equipo.	
Shine Within	Toma de decisiones y resolución de problemas	Compostura	Controla los impulsos y evita reacciones defensivas, permitiendo que otros piensen con claridad y ejecuten tareas críticas.	
